Date,Open,High,Low,Close,Volume,Change
2017-12-01,202693,204661,198758,199250,210540,-0.019371413384780434
2017-12-04,200726,205153,200726,204170,171184,0.024692597239648784
2017-12-05,202692,206136,202201,205153,120508,0.00481461527158733
2017-12-06,205152,206136,203677,204661,151920,-0.0023982101163522174
2017-12-07,202693,204169,198758,199250,259360,-0.02643884276926234
2017-12-08,199249,201709,197774,199742,154914,0.002469259723964834
2017-12-11,201217,201709,198266,198758,134890,-0.0049263549979473575
2017-12-12,197773,198757,192361,193838,288936,-0.02475372060495673
2017-12-13,193838,200726,192854,200726,196985,0.035534828052291134
2017-12-14,202202,204660,201710,202694,386191,0.009804409991730045
2017-12-15,203677,204168,195313,200234,432624,-0.01213652106130425
2017-12-18,201709,201709,197282,199250,105766,-0.004914250327117231
2017-12-19,199741,201217,197774,199250,144920,0.0
2017-12-20,197774,199741,197774,198758,137869,-0.002469259723964834
2017-12-21,198265,201709,197774,199250,271197,0.0024753720604957508
2017-12-22,200726,202693,199250,200726,197860,0.007407779171894502
2017-12-26,202694,205153,201218,204170,276698,0.017157717485527524
2017-12-27,201709,201709,197282,198758,206157,-0.026507322329431315
2017-12-28,198758,201218,197282,201218,111816,0.01237686030247831
2018-01-02,202202,203186,198758,203186,141656,0.009780437137830722
2018-01-03,200233,203185,198265,199250,202384,-0.019371413384780434
2018-01-04,200725,200725,193838,195314,312451,-0.019754077791718894
2018-01-05,195806,198757,193838,198266,213164,0.015114123923528178
2018-01-08,198757,198757,193346,194330,351906,-0.01985211786186236
2018-01-09,194821,195805,191869,192854,288312,-0.007595327535635299
2018-01-10,194330,199742,193838,199742,386239,0.03571613759631642
2018-01-11,200232,200724,196298,197282,325897,-0.012315887494868338
2018-01-12,199741,199741,196790,197774,190757,0.002493891992173536
2018-01-15,197773,198265,194330,195314,163825,-0.012438439835367632
2018-01-16,195805,196297,192361,194330,195586,-0.0050380413078428
2018-01-17,193838,194822,192361,194822,170453,0.0025317758452116923
2018-01-18,193837,195313,188425,189410,320729,-0.027779203580704404
2018-01-19,189410,191869,188426,191378,167647,0.010390158914524106
2018-01-22,191870,193344,189902,191870,169204,0.0025708284128791448
2018-01-23,192854,195806,191378,195806,249699,0.020513889612758573
2018-01-24,195314,196297,194329,196298,153215,0.0025126911330601853
2018-01-25,195806,198265,194822,196790,242221,0.00250639334073699
2018-01-26,195805,196789,193838,194822,159911,-0.010000508155902255
2018-01-29,195313,207120,194821,206629,643355,0.06060403855827379
2018-01-30,206137,210564,205645,206629,449795,0.0
2018-01-31,205645,205645,199250,201218,335843,-0.02618703086207652
2018-02-01,199742,206629,199742,202202,337662,0.00489021856891525
2018-02-02,202692,203185,195806,196790,246737,-0.02676531389402681
2018-02-05,195314,200725,193346,195314,300619,-0.0075003811169266354
2018-02-06,191869,192853,187442,189902,344639,-0.027709227193135177
2018-02-07,191377,192853,187441,187442,292209,-0.012954049983675775
2018-02-08,186948,189901,183998,185966,346527,-0.007874435825481974
2018-02-09,182031,183998,179079,182031,234530,-0.021159781895615293
2018-02-12,183014,183998,178095,182523,148817,0.0027028363300756197
2018-02-13,183014,187933,182030,186950,244727,0.024254477517901885
2018-02-14,187441,187933,185474,187442,185917,0.0026317197111527246
2018-02-19,190886,194821,189409,193346,205967,0.031497743301928116
2018-02-20,193344,194329,190393,191378,99461,-0.010178643468186532
2018-02-21,190886,194328,189902,192362,161947,0.005141656825758512
2018-02-22,192853,193345,189410,189902,268134,-0.01278838855907094
2018-02-23,191870,196297,190886,196298,261209,0.033680529957557104
2018-02-26,198757,206136,197773,205645,508304,0.047616379178595736
2018-02-27,206629,207612,203678,203678,241403,-0.009565027109825208
2018-02-28,200726,207121,200726,202202,293552,-0.007246732587712024
2018-03-02,198266,206137,198266,204170,277939,0.00973284141600983
2018-03-05,204661,209580,204169,205153,228331,0.00481461527158733
2018-03-06,207613,208105,200726,201218,247333,-0.01918080652001186
2018-03-07,200234,202201,196298,200234,223894,-0.004890218568915361
2018-03-08,198265,199741,194822,199250,329949,-0.004914250327117231
2018-03-09,199250,201709,196790,201218,151467,0.009877038895859558
2018-03-12,205153,211548,205153,211057,383931,0.048897215954835094
2018-03-13,208596,210564,204661,205153,262186,-0.027973485835580014
2018-03-14,204661,210564,204169,206629,228737,0.007194630349056652
2018-03-15,206629,208596,204169,206629,128063,0.0
2018-03-16,208104,209088,203677,205153,240166,-0.007143237396493252
2018-03-19,205152,208596,204661,207613,146506,0.011991050581760865
2018-03-20,205645,208105,205153,208105,153327,0.0023697937990394546
2018-03-21,206136,208596,201709,208597,220786,0.0023641911535041693
2018-03-22,210073,213516,208597,210073,204324,0.0070758448108074745
2018-03-23,206628,208103,204169,206137,174070,-0.018736344032788566
2018-03-26,206136,208596,202693,208597,151181,0.011933811009183115
2018-03-27,210072,210072,205153,206137,152307,-0.01179307468467905
2018-03-28,204661,206137,201218,203678,148502,-0.011928959866496558
2018-03-29,202693,208104,202693,206629,198631,0.01448855546499872
2018-03-30,208596,210072,206629,207613,160289,0.004762158264328908
2018-04-02,209581,215483,209089,210565,205344,0.014218762794237394
2018-04-03,206629,208104,204661,207613,179592,-0.014019423930852759
2018-04-04,209088,214008,204661,206629,226513,-0.004739587598079131
2018-04-05,205645,210073,205645,210073,154371,0.016667553925150846
2018-04-06,209089,210564,206629,209089,126016,-0.004684086008197141
2018-04-09,207613,208105,202202,204170,264153,-0.02352586697530712
2018-04-10,202200,203185,196790,199742,272712,-0.021687809178625672
2018-04-11,199741,201217,197282,198758,195629,-0.0049263549979473575
2018-04-12,199742,202693,197774,201218,246709,0.01237686030247831
2018-04-13,200725,201217,197774,197774,141414,-0.017115764991203597
2018-04-16,200233,202693,197774,199250,151175,0.007463063901220535
2018-04-17,198265,199249,194822,195314,212850,-0.019754077791718894
2018-04-18,197281,197281,194330,195806,240632,0.0025190206539214
2018-04-19,194822,196297,194330,194822,161064,-0.005025382266120593
2018-04-20,194822,195806,194330,195806,100347,0.0050507642874007
2018-04-23,195806,197774,194330,197774,154702,0.010050764532241185
2018-04-24,198265,198265,195806,196298,205085,-0.007463063901220535
2018-04-25,195313,195805,184490,190394,443386,-0.030076720088844544
2018-04-26,190393,192361,188426,191378,315755,0.005168230091284309
2018-04-27,189901,192360,187934,188918,264305,-0.012854142064396168
2018-04-30,187442,193837,187442,193346,221526,0.02343874061762241
2018-05-02,203185,205644,199249,205153,635005,0.061066688734186414
2018-05-03,205153,206137,202202,203186,472388,-0.009587966054603103
2018-05-04,201709,202200,194330,194330,396936,-0.04358568011575603
2018-05-08,195314,197773,193838,196790,318289,0.012658879226058684
2018-05-09,195314,199249,194330,198758,220096,0.010000508155902255
2018-05-10,198758,199742,195806,199742,287480,0.0049507441209912795
2018-05-11,199250,201710,198266,201710,194155,0.009852709995894715
2018-05-14,201218,202201,199250,201710,230234,0.0
2018-05-15,199742,201708,198266,200726,316130,-0.0048782906152397
2018-05-16,201217,201217,197774,198758,318570,-0.009804409991730045
2018-05-17,198266,202201,197774,200726,255439,0.009901488241982781
2018-05-18,199250,203185,199250,202694,224048,0.009804409991730045
2018-05-21,203186,205153,201218,203678,171211,0.004854608424521789
2018-05-23,201218,204169,201218,201710,255839,-0.009662310116949291
2018-05-24,201708,201708,199742,200726,162435,-0.0048782906152397
2018-05-25,200725,201709,198266,198758,184601,-0.009804409991730045
2018-05-28,197774,201217,196790,200234,159540,0.00742611618148703
2018-05-29,199250,202201,197282,201218,144588,0.004914250327117342
2018-05-30,199249,200233,195314,195806,349450,-0.026896202129034208
2018-05-31,198758,204168,198758,202694,503688,0.03517767586284393
2018-06-01,201709,203185,199250,200234,173506,-0.01213652106130425
2018-06-04,201218,204170,200726,204170,173266,0.019657001308469146
2018-06-05,202694,204168,202202,202694,171265,-0.00722926972620852
2018-06-07,202201,205152,201217,204661,246983,0.0097042833038965
2018-06-08,204661,207120,204661,206629,179469,0.009615901417465933
2018-06-11,206137,211548,203185,211057,280750,0.021429712189479755
2018-06-12,211057,213024,209089,211549,237177,0.002331123819631742
2018-06-14,209581,212040,209089,209581,320533,-0.009302809278228685
2018-06-15,210073,212532,209089,211057,271767,0.0070426231385478655
2018-06-18,213516,214008,209581,210073,269746,-0.004662247639263373
2018-06-19,207121,210073,201710,201710,392593,-0.03980997081966742
2018-06-20,200234,204661,200234,201218,286236,-0.0024391453076199054
2018-06-21,200233,204661,200233,200726,195596,-0.002445109284457625
2018-06-22,199249,201709,198758,198758,227637,-0.009804409991730045
2018-06-25,201218,203185,198266,202694,165637,0.01980297648396534
2018-06-26,202694,205153,201709,203678,177416,0.004854608424521789
2018-06-27,202201,203185,199248,199250,287652,-0.02174019776313596
2018-06-28,197282,199741,195314,198266,218284,-0.004938519447929779
2018-06-29,198266,199249,194330,198758,250062,0.002481514732732837
2018-07-02,197773,198265,184490,184982,623067,-0.06931041769387902
2018-07-03,185474,186950,179571,181539,549753,-0.018612621768604565
2018-07-04,179571,185474,179571,183507,226465,0.010840645811643679
2018-07-05,183506,186949,183506,186458,301471,0.01608113042009296
2018-07-06,186950,190885,185966,189902,290849,0.018470647545291596
2018-07-09,188917,190885,186950,190394,177675,0.0025908099967351106
2018-07-10,188918,189901,187934,188918,246977,-0.007752345136926575
2018-07-11,187933,188917,186458,187442,248519,-0.007812913539207433
2018-07-12,188425,188917,184982,187442,365606,0.0
2018-07-13,186458,189901,185473,188918,267782,0.007874435825482085
2018-07-16,188426,196789,188426,195314,279256,0.03385595866989921
2018-07-17,192361,193837,189410,189902,191140,-0.027709227193135177
2018-07-18,189901,192361,187934,188426,136517,-0.007772429990205443
2018-07-19,188426,193344,187933,191378,155352,0.015666627747763062
2018-07-20,190394,191377,186457,190394,142939,-0.0051416568257584006
2018-07-23,190886,195313,190394,193346,160938,0.01550469027385315
2018-07-24,193344,193344,191378,191378,82907,-0.010178643468186532
2018-07-25,191870,193836,189902,192362,102331,0.005141656825758512
2018-07-26,193838,199741,193838,198758,241806,0.03324981025358431
2018-07-27,201217,201709,194822,195314,112697,-0.0173276044234697
2018-07-30,194330,203185,194330,200726,295979,0.027709227193135177
2018-07-31,200233,200725,193346,195314,207462,-0.02696212747725757
2018-08-01,195313,196789,192854,193346,133998,-0.010076082615685489
2018-08-02,192853,193837,187934,187934,184077,-0.027991269537513075
2018-08-03,186457,187441,184982,185966,406644,-0.01047176136303174
2018-08-06,186950,188425,185966,187442,213435,0.007936934708494991
2018-08-07,184982,187933,184490,186458,313932,-0.005249623883654686
2018-08-08,186949,187441,183998,185474,238777,-0.0052773278700833925
2018-08-09,185473,186458,183014,186458,245290,0.005305325813860673
2018-08-10,186950,190393,185966,188918,230034,0.013193319675208315
2018-08-13,188918,190885,188425,189410,188745,0.0026043045130692555
2018-08-14,189902,196789,189409,195806,308214,0.03376801647220318
2018-08-16,191870,196789,191378,195806,172471,0.0
2018-08-17,194330,199741,193345,197774,161652,0.010050764532241185
2018-08-20,199741,201709,196298,196790,132813,-0.004975375934147097
2018-08-21,194330,196789,192361,194330,208053,-0.012500635194877763
2018-08-22,194329,194329,189409,190886,181828,-0.01772243091648229
2018-08-23,191378,192361,189902,192362,116878,0.007732363819242805
2018-08-24,192361,195313,192361,194330,124304,0.010230710847256796
2018-08-27,195313,195805,192854,193838,68330,-0.0025317758452118033
2018-08-28,193836,193836,190886,192362,179171,-0.007614606011205227
2018-08-29,191870,192853,191378,191870,88877,-0.0025576777118141436
2018-08-30,192360,193345,188426,188918,142668,-0.015385417209568986
2018-08-31,188918,189902,187934,189902,140749,0.005208609026138289
2018-09-03,189410,191869,188918,191378,116070,0.007772429990205554
2018-09-04,190885,191377,188918,189902,120598,-0.007712485238637656
2018-09-05,189901,190393,187934,188426,125470,-0.007772429990205443
2018-09-06,188425,190393,187934,187934,123479,-0.002611104624627214
2018-09-07,188918,189410,186950,189410,99118,0.007853821022273832
2018-09-10,189410,197773,189410,196298,413762,0.03636555620083426
2018-09-11,196298,200725,194822,199250,285210,0.015038360044422161
2018-09-12,197282,199741,197282,198266,180396,-0.004938519447929779
2018-09-13,200233,200725,195314,198266,210164,0.0
2018-09-14,198266,200234,196790,200234,139798,0.009926058930931125
2018-09-17,198757,199741,195806,197774,141420,-0.012285625817793133
2018-09-18,195806,199741,194822,199250,162288,0.007463063901220535
2018-09-19,197774,199741,196790,198266,106495,-0.004938519447929779
2018-09-20,196789,197773,194330,195314,170782,-0.014889088396396799
2018-09-21,197281,198757,194330,197282,406788,0.0100760826156856
2018-09-27,196297,208104,195805,205153,392638,0.03989720298861532
2018-09-28,208105,215976,205153,211549,453969,0.03117673151257838
2018-10-01,216468,222372,215485,219421,464449,0.03721123711291474
2018-10-02,218929,223356,217945,221881,261450,0.011211324349082341
2018-10-04,222372,222864,215977,219421,252861,-0.011087024125544742
2018-10-05,217453,222372,214992,220405,198455,0.004484529739632981
2018-10-08,219912,220895,210565,214009,339739,-0.029019305369660353
2018-10-10,214008,214992,209581,212533,179341,-0.006896906204879261
2018-10-11,206629,210073,202202,202694,284805,-0.046293987286680216
2018-10-12,202693,210564,201709,208105,239830,0.02669541278972254
2018-10-15,208105,212532,203185,211549,215895,0.01654933807452963
2018-10-16,213516,214008,206137,210073,257692,-0.006977106958671486
2018-10-17,212533,219420,209088,215485,193165,0.025762473045084278
2018-10-18,213025,217452,211549,216469,191808,0.004566443139893739
2018-10-19,214500,215483,199741,209089,411042,-0.03409264144057578
2018-10-22,207613,212040,203185,210565,188839,0.007059194888301201
2018-10-23,207612,211057,202694,203678,157670,-0.03270724004464176
2018-10-24,204661,208105,198758,203678,268497,0.0
2018-10-25,199249,206629,198757,206629,218693,0.01448855546499872
2018-10-26,205645,210565,199742,201710,236149,-0.023805951729912067
2018-10-29,203677,208597,200726,203186,200931,0.007317435922859605
2018-10-30,204660,206628,202693,204661,199674,0.007259358420363515
2018-10-31,203677,211548,202201,210073,222848,0.026443728898031482
2018-11-01,208105,208105,199248,199250,313939,-0.05152018584016027
2018-11-02,199742,204661,198266,203678,285107,0.022223337515683728
2018-11-05,201710,204169,198758,201710,192172,-0.009662310116949291
2018-11-06,203185,203185,198758,202202,165559,0.0024391453076197944
2018-11-07,201217,202693,198758,200726,267660,-0.007299631062007261
2018-11-08,203677,203677,200234,200234,224675,-0.002451102497932456
2018-11-09,199249,201217,194822,196790,275041,-0.017199876144910475
2018-11-12,192854,195805,190394,194822,211416,-0.010000508155902255
2018-11-13,193346,197773,188425,196790,232607,0.010101528574801621
2018-11-14,193345,193345,187934,190394,287386,-0.03250165150668227
2018-11-15,190394,193345,187442,192854,230136,0.012920575228210884
2018-11-16,193838,194329,190886,193838,143120,0.0051023053709022825
2018-11-19,194821,200725,194330,199742,243337,0.03045842404482091
2018-11-20,200726,203185,197282,201218,184162,0.007389532496921092
2018-11-21,195806,200234,194822,200234,174510,-0.004890218568915361
2018-11-22,201710,204169,200726,202202,112654,0.009828500654234462
2018-11-23,200724,202201,195314,197282,125030,-0.024332103540024352
2018-11-26,195805,196297,189902,193838,261866,-0.017457243945215528
2018-11-27,194820,195313,191870,193838,229543,0.0
2018-11-28,193837,194329,190886,192854,283457,-0.0050764040074701144
2018-11-29,193837,195313,192361,193346,223437,0.0025511526854511413
2018-11-30,193837,194821,192854,193346,308984,0.0
2018-12-03,195313,201217,194822,200234,259484,0.035625252138653085
2018-12-04,200233,200233,194822,195806,276683,-0.022114126472027706
2018-12-05,194330,197773,191870,195806,178938,0.0
2018-12-06,193345,194821,186949,188426,348813,-0.03769036699590411
2018-12-07,188917,189901,183506,184490,283389,-0.02088883699701738
2018-12-10,184982,184982,180063,181047,248299,-0.018662258116971087
2018-12-11,179570,180554,178095,178587,287061,-0.013587631940877198
2018-12-12,180063,183014,179571,181539,285597,0.016529758605049683
2018-12-13,181538,183014,179079,179571,545010,-0.01084064581164379
2018-12-14,182030,184982,179571,181539,278219,0.010959453363850402
2018-12-17,181538,183014,179079,179571,162793,-0.01084064581164379
2018-12-18,177110,178094,173667,174651,312923,-0.027398633409626227
2018-12-19,170715,177110,169239,175635,321498,0.005634093134307738
2018-12-20,175635,177111,173175,177111,203559,0.008403791954906481
2018-12-21,176619,179571,175635,179571,285830,0.01388959466097539
2018-12-24,179570,180062,176127,178095,154988,-0.008219590022887857
2018-12-26,175143,180554,174159,179079,248568,0.005525141076391904
2018-12-27,179078,179570,175143,176127,246987,-0.01648434489806172
