Company_Name,Year,Total_Assets,Total_Debt,Total_Equity,Revenue,Operating_Income(added),Net_Income(added),Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER
대한항공,2021,26193031954800.0,19214935986769.0,6978095968031.0,8753416403197.0,1464438013009.0,638690220653.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Turned,29.98,12.33,16.03,1743.0,16.84
대한항공,2022,28065730615101.0,18840106264508.0,9225624350593.0,13412724920861.0,2883641014305.0,1779642637495.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,4787.0,4.79
하이브,2017,,,,,,,,,,,,,,,,,
하이브,2018,,,,,,,,,,,,,,,,,
하이브,2019,,,,,,,,,,,,,,,,,
하이브,2020,,,,,,,,,,,,,,,,,
하이브,2021,,,,,,,,,,,,,,,,,
하이브,2022,,,,,,,,,,,,,,,,,
S-Oil,2017,15077563000000.0,8238464000000.0,6839099000000.0,20891340000000.0,1374649000000.0,1249156000000.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,10706.0,10.93
S-Oil,2018,16081512000000.0,9619923000000.0,6461589000000.0,25463122000000.0,636848000000.0,253777000000.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,2216.0,44.09
S-Oil,2019,16455433000000.0,9969313000000.0,6486120000000.0,24393980000000.0,420050000000.0,62602000000.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,561.0,169.88
S-Oil,2020,15671847000000.0,9995254000000.0,5676593000000.0,16735504000000.0,-1100512000000.0,-799920000000.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,L_Turned,L_Turned,25.28,6.8,8.52,-6839.0,-10.12
S-Oil,2021,18653556000000.0,11671800000000.0,6981756000000.0,27203839000000.0,2138839000000.0,1378330000000.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Turned,P_Turned,29.98,12.33,16.03,11840.0,7.24
S-Oil,2022,19573396000000.0,11097178000000.0,8476218000000.0,42017079000000.0,3402647000000.0,2103686000000.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,18075.0,4.61
한미반도체,2017,293986174040.0,78858603241.0,215127570799.0,196426640069.0,51459039593.0,8677838337.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,185.0,32.03
한미반도체,2018,241520337338.0,30858873895.0,210661463443.0,215756076780.0,56013045136.0,49982527613.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,966.0,4.03
한미반도체,2019,255001907840.0,38209902344.0,216792005496.0,119171027525.0,14391582694.0,21374600555.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,383.0,10.57
한미반도체,2020,322292687819.0,70799197060.0,251493490759.0,255740538495.0,66007006986.0,47386518209.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,502.0,18.03
한미반도체,2021,417730227345.0,84374071402.0,333356155943.0,371740896190.0,119521542590.0,96870197677.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,1057.0,17.9
한미반도체,2022,441490502516.0,66273960600.0,375216541916.0,323948862212.0,109531251665.0,91469842900.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,939.0,12.25
아모레퍼시픽,2017,4786271660889.0,759717024155.0,4026554636734.0,3627543045012.0,474371353865.0,317768946505.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,5711.0,53.32
아모레퍼시픽,2018,4678941054908.0,442130364228.0,4236810690680.0,3670704956645.0,372274998937.0,274660919151.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,4815.0,43.51
